id,name,team,team_abbr,position
KamaAl00,Alvin Kamara,New Orleans Saints,NOR,RB
WilsRu00,Russell Wilson,Seattle Seahawks,SEA,QB
CookDa01,Dalvin Cook,Minnesota Vikings,MIN,RB
MahoPa00,Patrick Mahomes,Kansas City Chiefs,KAN,QB
PresDa01,Dak Prescott,Dallas Cowboys,DAL,QB
MetcDK00,D.K. Metcalf,Seattle Seahawks,SEA,WR
ElliEz00,Ezekiel Elliott,Dallas Cowboys,DAL,RB
JoneAa00,Aaron Jones,Green Bay Packers,GNB,RB
ThieAd00,Adam Thielen,Minnesota Vikings,MIN,WR
MurrKy00,Kyler Murray,Arizona Cardinals,ARI,QB
RidlCa00,Calvin Ridley,Atlanta Falcons,ATL,WR
HillTy00,Tyreek Hill,Kansas City Chiefs,KAN,WR
CarsCh00,Chris Carson,Seattle Seahawks,SEA,RB
HuntKa00,Kareem Hunt,Cleveland Browns,CLE,RB
JacoJo01,Josh Jacobs,Las Vegas Raiders,LVR,RB
KelcTr00,Travis Kelce,Kansas City Chiefs,KAN,TE
HopkDe00,DeAndre Hopkins,Arizona Cardinals,ARI,WR
AlleJo02,Josh Allen,Buffalo Bills,BUF,QB
EvanMi00,Mike Evans,Tampa Bay Buccaneers,TAM,WR
BeckOd00,Odell Beckham Jr.,Cleveland Browns,CLE,WR
GurlTo01,Todd Gurley,Atlanta Falcons,ATL,RB
AndrMa00,Mark Andrews,Baltimore Ravens,BAL,TE
LockTy00,Tyler Lockett,Seattle Seahawks,SEA,WR
ClayCh01,Chase Claypool,Pittsburgh Steelers,PIT,WR
RobiJa00,James Robinson,Jacksonville Jaguars,JAX,RB
LambCe00,CeeDee Lamb,Dallas Cowboys,DAL,WR
MixoJo00,Joe Mixon,Cincinnati Bengals,CIN,RB
AndeRo04,Robby Anderson,Carolina Panthers,CAR,WR
WoodRo02,Robert Woods,Los Angeles Rams,LAR,WR
RobiAl02,Allen Robinson,Chicago Bears,CHI,WR
TonyRo00,Robert Tonyan,Green Bay Packers,GNB,TE
DiggSt00,Stefon Diggs,Buffalo Bills,BUF,WR
FullWi01,Will Fuller,Houston Texans,HOU,WR
DaviMi01,Mike Davis,Carolina Panthers,CAR,RB
CoopAm00,Amari Cooper,Dallas Cowboys,DAL,WR
TaylJo02,Jonathan Taylor,Indianapolis Colts,IND,RB
HendDa00,Darrell Henderson,Los Angeles Rams,LAR,RB
KuppCo00,Cooper Kupp,Los Angeles Rams,LAR,WR
McLaTe00,Terry McLaurin,Washington Football Team,WAS,WR
GrahJi00,Jimmy Graham,Chicago Bears,CHI,TE
RodgAa00,Aaron Rodgers,Green Bay Packers,GNB,QB
SandMi01,Miles Sanders,Philadelphia Eagles,PHI,RB
EdwaCl00,Clyde Edwards-Helaire,Kansas City Chiefs,KAN,RB
FitzRy00,Ryan Fitzpatrick,Miami Dolphins,MIA,QB
ChubNi00,Nick Chubb,Cleveland Browns,CLE,RB
GesiMi00,Mike Gesicki,Miami Dolphins,MIA,TE
SlayDa01,Darius Slayton,New York Giants,NYG,WR
WallDa01,Darren Waller,Las Vegas Raiders,LVR,TE
AlleKe00,Keenan Allen,Los Angeles Chargers,LAC,WR
CrowJa00,Jamison Crowder,New York Jets,NYJ,WR
ParkDe01,DeVante Parker,Miami Dolphins,MIA,WR
GordMe00,Melvin Gordon,Denver Broncos,DEN,RB
MoorD.00,D.J. Moore,Carolina Panthers,CAR,WR
BradTo00,Tom Brady,Tampa Bay Buccaneers,TAM,QB
McKiJe00,Jerick McKinnon,San Francisco 49ers,SFO,RB
HigbTy00,Tyler Higbee,Los Angeles Rams,LAR,TE
JeffJu00,Justin Jefferson,Minnesota Vikings,MIN,WR
SmitJo01,Jonnu Smith,Tennessee Titans,TEN,TE
ConnJa00,James Conner,Pittsburgh Steelers,PIT,RB
BoydTy00,Tyler Boyd,Cincinnati Bengals,CIN,WR
FantNo00,Noah Fant,Denver Broncos,DEN,TE
SandEm00,Emmanuel Sanders,New Orleans Saints,NOR,WR
WatsDe00,Deshaun Watson,Houston Texans,HOU,QB
GoffJa00,Jared Goff,Los Angeles Rams,LAR,QB
JackLa00,Lamar Jackson,Baltimore Ravens,BAL,QB
JohnDa08,David Johnson,Houston Texans,HOU,RB
KittGe00,George Kittle,San Francisco 49ers,SFO,TE
GallMi00,Michael Gallup,Dallas Cowboys,DAL,WR
MontDa01,David Montgomery,Chicago Bears,CHI,RB
ColeKe00,Keelan Cole,Jacksonville Jaguars,JAX,WR
CharDJ00,DJ Chark,Jacksonville Jaguars,JAX,WR
HenrHu00,Hunter Henry,Los Angeles Chargers,LAC,TE
MostRa00,Raheem Mostert,San Francisco 49ers,SFO,RB
GibsAn00,Antonio Gibson,Washington Football Team,WAS,RB
SchuDa00,Dalton Schultz,Dallas Cowboys,DAL,TE
JoneRo01,Ronald Jones II,Tampa Bay Buccaneers,TAM,RB
LazaAl00,Allen Lazard,Green Bay Packers,GNB,WR
WattDe00,Derek Watt,Pittsburgh Steelers,PIT,
CarrDe02,Derek Carr,Las Vegas Raiders,LVR,QB
MinsGa00,Gardner Minshew II,Jacksonville Jaguars,JAX,QB
BridTe00,Teddy Bridgewater,Carolina Panthers,CAR,QB
BreeDr00,Drew Brees,New Orleans Saints,NOR,QB
HerbJu00,Justin Herbert,Los Angeles Chargers,LAC,QB
WentCa00,Carson Wentz,Philadelphia Eagles,PHI,QB
RyanMa00,Matt Ryan,Atlanta Falcons,ATL,QB
BurrJo01,Joe Burrow,Cincinnati Bengals,CIN,QB
RoetBe00,Ben Roethlisberger,Pittsburgh Steelers,PIT,QB
StafMa00,Matthew Stafford,Detroit Lions,DET,QB
NewtCa00,Cam Newton,New England Patriots,NWE,QB
MayfBa00,Baker Mayfield,Cleveland Browns,CLE,QB
CousKi00,Kirk Cousins,Minnesota Vikings,MIN,QB
TannRy00,Ryan Tannehill,Tennessee Titans,TEN,QB
RivePh00,Philip Rivers,Indianapolis Colts,IND,QB
DarnSa00,Sam Darnold,New York Jets,NYJ,QB
HaskDw00,Dwayne Haskins,Washington Football Team,WAS,QB
JoneDa05,Daniel Jones,New York Giants,NYG,QB
TrubMi00,Mitchell Trubisky,Chicago Bears,CHI,QB
HenrDe00,Derrick Henry,Tennessee Titans,TEN,RB
DrakKe00,Kenyan Drake,Arizona Cardinals,ARI,RB
GaskMy00,Myles Gaskin,Miami Dolphins,MIA,RB
McCaCh01,Christian McCaffrey,Carolina Panthers,CAR,RB
EkelAu00,Austin Ekeler,Los Angeles Chargers,LAC,RB
BurkRe00,Rex Burkhead,New England Patriots,NWE,RB
FoleNi00,Nick Foles,Chicago Bears,CHI,QB
MurrLa00,Latavius Murray,New Orleans Saints,NOR,RB
EdmoCh00,Chase Edmonds,Arizona Cardinals,ARI,RB
SingDe00,Devin Singletary,Buffalo Bills,BUF,RB
SmitJu00,JuJu Smith-Schuster,Pittsburgh Steelers,PIT,WR
BrowMa03,Malcolm Brown,Los Angeles Rams,LAR,RB
BrowMa04,Marquise Brown,Baltimore Ravens,BAL,WR
ShenLa00,Laviska Shenault Jr.,Jacksonville Jaguars,JAX,WR
AghoNe00,Nelson Agholor,Las Vegas Raiders,LVR,WR
CookBr00,Brandin Cooks,Houston Texans,HOU,WR
WillPr01,Preston Williams,Miami Dolphins,MIA,WR
HiggTe00,Tee Higgins,Cincinnati Bengals,CIN,WR
IngrMa01,Mark Ingram,Baltimore Ravens,BAL,RB
AiyuBr00,Brandon Aiyuk,San Francisco 49ers,SFO,WR
HardMe00,Mecole Hardman,Kansas City Chiefs,KAN,WR
MattAl01,Alexander Mattison,Minnesota Vikings,MIN,RB
PeteAd01,Adrian Peterson,Detroit Lions,DET,RB
FulgTr00,Travis Fulgham,Philadelphia Eagles,PHI,WR
LandJa00,Jarvis Landry,Cleveland Browns,CLE,WR
PatrTi00,Tim Patrick,Denver Broncos,DEN,WR
WatkSa00,Sammy Watkins,Kansas City Chiefs,KAN,WR
WillMi07,Mike Williams,Los Angeles Chargers,LAC,WR
WilsCe01,Cedrick Wilson,Dallas Cowboys,DAL,WR
BeasCo00,Cole Beasley,Buffalo Bills,BUF,WR
CobbRa00,Randall Cobb,Houston Texans,HOU,WR
DobbJK00,J.K. Dobbins,Baltimore Ravens,BAL,RB
EdelJu00,Julian Edelman,New England Patriots,NWE,WR
GaroJi00,Jimmy Garoppolo,San Francisco 49ers,SFO,QB
HineNy00,Nyheim Hines,Indianapolis Colts,IND,RB
HockTJ00,T.J. Hockenson,Detroit Lions,DET,TE
KellJo01,Joshua Kelley,Los Angeles Chargers,LAC,RB
MillSc01,Scott Miller,Tampa Bay Buccaneers,TAM,WR
AdamDa01,Davante Adams,Green Bay Packers,GNB,WR
AlieMo00,Mo Alie-Cox,Indianapolis Colts,IND,TE
BrowJo02,John Brown,Buffalo Bills,BUF,WR
MoorDa03,David Moore,Seattle Seahawks,SEA,WR
SmitTr03,Tre'Quan Smith,New Orleans Saints,NOR,WR
DrisJe00,Jeff Driskel,Denver Broncos,DEN,QB
RenfHu00,Hunter Renfrow,Las Vegas Raiders,LVR,WR
BourKe00,Kendrick Bourne,San Francisco 49ers,SFO,WR
CookJa02,Jared Cook,New Orleans Saints,NOR,TE
GuytJa01,Jalen Guyton,Los Angeles Chargers,LAC,WR
HursHa00,Hayden Hurst,Atlanta Falcons,ATL,TE
JeudJe00,Jerry Jeudy,Denver Broncos,DEN,WR
MillAn02,Anthony Miller,Chicago Bears,CHI,WR
SwifDA00,D'Andre Swift,Detroit Lions,DET,RB
WardGr02,Greg Ward,Philadelphia Eagles,PHI,WR
FourLe00,Leonard Fournette,Tampa Bay Buccaneers,TAM,RB
GageRu00,Russell Gage,Atlanta Falcons,ATL,WR
DaviCo03,Corey Davis,Tennessee Titans,TEN,WR
HowaO.00,O.J. Howard,Tampa Bay Buccaneers,TAM,TE
ValdMa00,Marquez Valdes-Scantling,Green Bay Packers,GNB,WR
BerrBr00,Braxton Berrios,New York Jets,NYJ,WR
HillBr02,Brian Hill,Atlanta Falcons,ATL,RB
IsabAn00,Andy Isabella,Arizona Cardinals,ARI,WR
MichSo00,Sony Michel,New England Patriots,NWE,RB
DaviGa01,Gabriel Davis,Buffalo Bills,BUF,WR
RuggHe00,Henry Ruggs III,Las Vegas Raiders,LVR,WR
SamuCu00,Curtis Samuel,Carolina Panthers,CAR,WR
WillJa06,Jamaal Williams,Green Bay Packers,GNB,RB
FellDa01,Darren Fells,Houston Texans,HOU,TE
GollKe00,Kenny Golladay,Detroit Lions,DET,WR
MullNi00,Nick Mullens,San Francisco 49ers,SFO,QB
WilsJe01,Jeff Wilson,San Francisco 49ers,SFO,RB
AkinJo00,Jordan Akins,Houston Texans,HOU,TE
ErtzZa00,Zach Ertz,Philadelphia Eagles,PHI,TE
FreeDe00,Devonta Freeman,New York Giants,NYG,RB
HiltT.00,T.Y. Hilton,Indianapolis Colts,IND,WR
EngrEv00,Evan Engram,New York Giants,NYG,TE
GoreFr00,Frank Gore,New York Jets,NYJ,RB
InmaDo00,Dontrelle Inman,Washington Football Team,WAS,WR
KirkCh01,Christian Kirk,Arizona Cardinals,ARI,WR
MoonDa00,Darnell Mooney,Chicago Bears,CHI,WR
HarrNK00,N'Keal Harry,New England Patriots,NWE,WR
HoopAu00,Austin Hooper,Cleveland Browns,CLE,TE
JoneJu02,Julio Jones,Atlanta Falcons,ATL,WR
ReedJo02,Jordan Reed,San Francisco 49ers,SFO,TE
EbroEr00,Eric Ebron,Pittsburgh Steelers,PIT,TE
GodwCh00,Chris Godwin,Tampa Bay Buccaneers,TAM,WR
GoedDa00,Dallas Goedert,Philadelphia Eagles,PHI,TE
HumpAd00,Adam Humphries,Tennessee Titans,TEN,WR
JohnDi01,Diontae Johnson,Pittsburgh Steelers,PIT,WR
JoneMa02,Marvin Jones,Detroit Lions,DET,WR
OlseGr00,Greg Olsen,Seattle Seahawks,SEA,TE
PascZa00,Zach Pascal,Indianapolis Colts,IND,WR
ConlCh00,Chris Conley,Jacksonville Jaguars,JAX,WR
EdwaGu00,Gus Edwards,Baltimore Ravens,BAL,RB
HowaJo00,Jordan Howard,Miami Dolphins,MIA,RB
AmenDa00,Danny Amendola,Detroit Lions,DET,WR
ByrdDa00,Damiere Byrd,New England Patriots,NWE,WR
EverGe00,Gerald Everett,Los Angeles Rams,LAR,TE
McKiJ.00,J.D. McKissic,Washington Football Team,WAS,RB
SneaWi00,Willie Snead,Baltimore Ravens,BAL,WR
WashJa00,James Washington,Pittsburgh Steelers,PIT,WR
BreiMa00,Matt Breida,Miami Dolphins,MIA,RB
FordIs00,Isaiah Ford,Miami Dolphins,MIA,WR
RichJa01,Jalen Richard,Las Vegas Raiders,LVR,RB
ThomCh03,Chris Thompson,Jacksonville Jaguars,JAX,RB
ThomLo00,Logan Thomas,Washington Football Team,WAS,TE
BarbPe01,Peyton Barber,Washington Football Team,WAS,RB
BookDe00,Devontae Booker,Las Vegas Raiders,LVR,RB
DuveDe00,Devin Duvernay,Baltimore Ravens,BAL,WR
KrofTy00,Tyler Kroft,Buffalo Bills,BUF,TE
PollTo00,Tony Pollard,Dallas Cowboys,DAL,RB
ReynJo00,Josh Reynolds,Los Angeles Rams,LAR,WR
StilKe00,Kenny Stills,Houston Texans,HOU,WR
SwaiFr00,Freddie Swain,Seattle Seahawks,SEA,WR
BonnRe00,Reggie Bonnafon,Carolina Panthers,CAR,RB
EifeTy00,Tyler Eifert,Jacksonville Jaguars,JAX,TE
JohnKe06,Kerryon Johnson,Detroit Lions,DET,RB
JuszKy00,Kyle Juszczyk,San Francisco 49ers,SFO,RB
LewiDi00,Dion Lewis,New York Giants,NYG,RB
TateGo00,Golden Tate,New York Giants,NYG,WR
UzomC.00,C.J. Uzomah,Cincinnati Bengals,CIN,TE
ZaccOl01,Olamide Zaccheaus,Atlanta Falcons,ATL,WR
FlacJo00,Joe Flacco,New York Jets,NYJ,QB
GronRo00,Rob Gronkowski,Tampa Bay Buccaneers,TAM,TE
HydeCa00,Carlos Hyde,Seattle Seahawks,SEA,RB
JohnDE04,D'Ernest Johnson,Cleveland Browns,CLE,RB
JoneZa00,Zay Jones,Las Vegas Raiders,LVR,WR
RudoKy00,Kyle Rudolph,Minnesota Vikings,MIN,TE
BernGi00,Giovani Bernard,Cincinnati Bengals,CIN,RB
HomeTr00,Travis Homer,Seattle Seahawks,SEA,RB
IngoAl01,Alec Ingold,Las Vegas Raiders,LVR,RB
PattCo00,Cordarrelle Patterson,Chicago Bears,CHI,WR
AkerCa00,Cam Akers,Los Angeles Rams,LAR,RB
BryaHa00,Harrison Bryant,Cleveland Browns,CLE,TE
CoheTa00,Tarik Cohen,Chicago Bears,CHI,RB
DissWi00,Will Dissly,Seattle Seahawks,SEA,TE
FitzLa00,Larry Fitzgerald,Arizona Cardinals,ARI,WR
GreeA.00,A.J. Green,Cincinnati Bengals,CIN,WR
HillTa00,Taysom Hill,New Orleans Saints,NOR,QB
HogaCh00,Chris Hogan,New York Jets,NYJ,WR
JackDe00,DeSean Jackson,Philadelphia Eagles,PHI,WR
JackJu01,Justin Jackson,Los Angeles Chargers,LAC,RB
JameJe00,Jesse James,Detroit Lions,DET,TE
JohnTy03,Tyron Johnson,Los Angeles Chargers,LAC,WR
LockDr00,Drew Lock,Denver Broncos,DEN,QB
MoreFo00,Foster Moreau,Las Vegas Raiders,LVR,TE
MossZa00,Zack Moss,Buffalo Bills,BUF,RB
NjokDa00,David Njoku,Cleveland Browns,CLE,TE
O'ShJa00,James O'Shaughnessy,Jacksonville Jaguars,JAX,TE
RaymKa00,Kalif Raymond,Tennessee Titans,TEN,WR
SampDr00,Drew Sample,Cincinnati Bengals,CIN,TE
SnelBe00,Benny Snell Jr.,Pittsburgh Steelers,PIT,RB
